,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,Marital_Status,Car_Ownership,Has_Children,NumberOfFollowups_outlier,Income_Category,id,ProdTaken
37,29.0,0.0,2.0,900.0,2.0,1.0,2.0,300.0,0.0,4.0,2.0,0.0,3.0,2.0,267660.0,2.0,0.0,0.0,1.0,0.0,2040.0,0.0
38,22.0,1.0,2.0,480.0,2.0,1.0,2.0,3.0,0.0,3.0,2.0,1.0,3.0,2.0,263250.0,1.0,1.0,1.0,0.0,0.0,2149.0,0.0
39,30.0,0.0,1.0,1140.0,0.0,1.0,3.0,5.0,0.0,4.0,7.0,0.0,4.0,2.0,300000.0,1.0,0.0,1.0,1.0,1.0,2179.0,0.0
40,45.0,0.0,1.0,420.0,2.0,1.0,2.0,3.0,0.0,3.0,4.0,1.0,5.0,2.0,342300.0,2.0,0.0,1.0,0.0,2.0,2272.0,0.0
41,28.0,1.0,2.0,1020.0,2.0,1.0,3.0,3.0,0.0,4.0,2.0,0.0,2.0,2.0,261195.0,2.0,1.0,1.0,0.0,0.0,2447.0,0.0
42,41.0,0.0,3.0,900.0,2.0,1.0,3.0,4.0,0.0,4.0,1.0,0.0,2.0,2.0,270000.0,2.0,1.0,1.0,0.0,0.0,2534.0,0.0
43,21.0,0.0,1.0,720.0,2.0,1.0,3.0,3.0,0.0,3.0,2.0,0.0,2.0,2.0,252270.0,2.0,1.0,0.0,0.0,0.0,2578.0,0.0
44,50.0,1.0,3.0,540.0,0.0,1.0,3.0,4.0,0.0,3.0,5.0,1.0,1.0,2.0,310155.0,0.0,0.0,1.0,0.0,1.0,2664.0,0.0
45,20.0,0.0,1.0,1020.0,2.0,1.0,3.0,3.0,0.0,3.0,2.0,1.0,4.0,2.0,253125.0,1.0,0.0,1.0,0.0,0.0,2848.0,0.0
46,23.0,0.0,2.0,420.0,1.0,1.0,2.0,4.0,0.0,5.0,3.0,1.0,2.0,2.0,351945.0,2.0,0.0,0.0,0.0,2.0,3005.0,0.0
47,26.0,0.0,2.0,900.0,0.0,1.0,2.0,5.0,0.0,5.0,7.0,1.0,2.0,2.0,268050.0,2.0,0.0,1.0,1.0,0.0,3030.0,0.0
48,32.0,1.0,1.0,540.0,0.0,1.0,3.0,5.0,0.0,4.0,3.0,0.0,2.0,2.0,254490.0,2.0,0.0,1.0,1.0,0.0,3053.0,0.0
49,36.0,1.0,3.0,1020.0,2.0,1.0,2.0,4.0,0.0,4.0,5.0,0.0,4.0,2.0,271485.0,2.0,0.0,0.0,0.0,0.0,3119.0,0.0
50,23.0,1.0,2.0,600.0,2.0,1.0,2.0,4.0,0.0,4.0,3.0,1.0,4.0,2.0,252030.0,1.0,1.0,0.0,0.0,0.0,3130.0,0.0
51,21.0,1.0,1.0,540.0,2.0,1.0,3.0,4.0,0.0,4.0,3.0,1.0,2.0,2.0,300000.0,2.0,0.0,1.0,0.0,1.0,3188.0,0.0
52,15.0,0.0,1.0,540.0,0.0,1.0,2.0,3.0,0.0,4.0,5.0,0.0,2.0,2.0,263415.0,2.0,1.0,0.0,0.0,0.0,3262.0,0.0
53,20.0,0.0,3.0,840.0,2.0,0.0,2.0,3.0,0.0,4.0,2.0,0.0,4.0,2.0,270000.0,2.0,1.0,0.0,0.0,0.0,3345.0,0.0
