,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,Marital_Status,Car_Ownership,Has_Children,NumberOfFollowups_outlier,Income_Category,id,ProdTaken
166,36.0,1.0,2.0,480.0,1.0,1.0,2.0,4.0,0.0,3.0,2.0,0.0,2.0,2.0,264990.0,2.0,1.0,0.0,0.0,0.0,166.0,0.0
210,30.0,0.0,1.0,1020.0,0.0,1.0,2.0,3.0,0.0,3.0,2.0,1.0,5.0,2.0,267405.0,1.0,0.0,0.0,0.0,0.0,210.0,0.0
222,20.0,1.0,3.0,780.0,1.0,0.0,2.0,3.0,0.0,3.0,2.0,1.0,4.0,2.0,254850.0,0.0,1.0,0.0,0.0,0.0,222.0,0.0
254,32.0,0.0,1.0,720.0,2.0,0.0,2.0,4.0,0.0,3.0,4.0,1.0,2.0,2.0,259680.0,0.0,1.0,1.0,0.0,0.0,254.0,0.0
272,40.0,0.0,2.0,480.0,1.0,1.0,2.0,3.0,0.0,3.0,1.0,0.0,2.0,2.0,270000.0,2.0,1.0,0.0,0.0,0.0,272.0,0.0
281,40.0,1.0,1.0,900.0,2.0,1.0,2.0,4.0,0.0,3.0,3.0,0.0,2.0,2.0,262995.0,2.0,0.0,1.0,0.0,0.0,281.0,0.0
308,24.0,0.0,2.0,960.0,2.0,1.0,2.0,3.0,0.0,3.0,2.0,0.0,2.0,2.0,263880.0,2.0,0.0,0.0,0.0,0.0,308.0,0.0
320,36.0,1.0,1.0,900.0,2.0,1.0,3.0,4.0,0.0,3.0,7.0,0.0,2.0,2.0,300000.0,2.0,0.0,1.0,0.0,1.0,320.0,0.0
336,23.0,1.0,1.0,840.0,1.0,1.0,3.0,4.0,0.0,3.0,7.0,1.0,2.0,2.0,306435.0,2.0,1.0,1.0,0.0,1.0,336.0,0.0
337,30.0,1.0,2.0,540.0,2.0,0.0,3.0,6.0,0.0,3.0,3.0,1.0,1.0,2.0,263625.0,0.0,0.0,0.0,1.0,0.0,337.0,0.0
403,33.0,0.0,2.0,540.0,2.0,1.0,2.0,3.0,0.0,3.0,1.0,0.0,3.0,2.0,250000.0,1.0,0.0,0.0,0.0,0.0,403.0,0.0
404,40.0,0.0,2.0,960.0,2.0,1.0,2.0,3.0,0.0,3.0,1.0,0.0,4.0,2.0,262275.0,0.0,0.0,0.0,0.0,0.0,404.0,0.0
465,24.0,0.0,2.0,900.0,2.0,1.0,2.0,4.0,0.0,3.0,2.0,0.0,2.0,2.0,312570.0,2.0,0.0,1.0,0.0,1.0,465.0,0.0
477,34.8,0.0,2.0,1920.0,0.0,1.0,2.0,4.0,0.0,3.0,3.0,1.0,2.0,2.0,320000.0,2.0,0.0,1.0,0.0,1.0,477.0,0.0
707,33.0,0.0,2.0,840.0,1.0,1.0,2.0,3.0,0.0,3.0,1.0,0.0,2.0,2.0,264105.0,2.0,0.0,0.0,0.0,0.0,707.0,0.0
798,36.0,1.0,2.0,600.0,1.0,1.0,2.0,4.0,0.0,3.0,1.0,0.0,3.0,2.0,259500.0,2.0,0.0,1.0,0.0,0.0,798.0,0.0
800,26.0,0.0,2.0,960.0,2.0,0.0,2.0,4.0,0.0,4.0,2.0,1.0,3.0,2.0,319200.0,0.0,1.0,1.0,0.0,1.0,800.0,0.0
891,32.0,0.0,2.0,540.0,2.0,0.0,1.0,5.0,0.0,3.0,3.0,0.0,3.0,2.0,256455.0,2.0,0.0,0.0,1.0,0.0,891.0,0.0
892,51.0,0.0,2.0,1020.0,2.0,1.0,1.0,6.0,0.0,3.0,5.0,0.0,2.0,2.0,301215.0,2.0,1.0,0.0,1.0,1.0,892.0,0.0
900,49.0,0.0,1.0,420.0,0.0,1.0,2.0,4.0,0.0,3.0,7.0,0.0,2.0,2.0,500000.0,2.0,1.0,0.0,0.0,4.0,900.0,0.0
920,25.0,0.0,1.0,840.0,2.0,1.0,1.0,4.0,0.0,3.0,7.0,0.0,2.0,2.0,300000.0,2.0,1.0,0.0,0.0,1.0,920.0,0.0
941,52.0,0.0,2.0,660.0,2.0,1.0,1.0,3.0,0.0,4.0,2.0,0.0,4.0,2.0,268215.0,1.0,0.0,0.0,0.0,0.0,941.0,0.0
996,27.0,0.0,2.0,840.0,2.0,1.0,2.0,3.0,0.0,3.0,3.0,0.0,2.0,2.0,307770.0,0.0,1.0,1.0,0.0,1.0,996.0,0.0
1056,24.0,0.0,2.0,900.0,2.0,0.0,1.0,3.0,0.0,3.0,2.0,0.0,2.0,2.0,249480.0,2.0,1.0,0.0,0.0,0.0,1056.0,0.0
1091,24.0,1.0,2.0,480.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,1.0,2.0,2.0,312690.0,2.0,0.0,0.0,0.0,1.0,1091.0,0.0
1106,51.0,0.0,2.0,960.0,2.0,0.0,1.0,4.0,0.0,3.0,2.0,1.0,3.0,2.0,280000.0,1.0,0.0,0.0,0.0,0.0,1106.0,0.0
1121,33.0,0.0,1.0,1440.0,2.0,1.0,1.0,3.0,0.0,3.0,1.0,0.0,1.0,2.0,260000.0,2.0,0.0,0.0,0.0,0.0,1121.0,0.0
1177,24.0,0.0,2.0,660.0,2.0,0.0,1.0,4.0,0.0,3.0,2.0,0.0,3.0,2.0,261930.0,2.0,0.0,0.0,0.0,0.0,1177.0,0.0
1185,22.0,1.0,3.0,1320.0,2.0,0.0,1.0,3.0,0.0,3.0,2.0,1.0,3.0,2.0,263685.0,0.0,1.0,0.0,0.0,0.0,1185.0,0.0
1187,25.0,0.0,2.0,1380.0,1.0,1.0,1.0,3.0,0.0,3.0,3.0,1.0,3.0,2.0,259575.0,2.0,1.0,0.0,0.0,0.0,1187.0,0.0
1209,24.0,0.0,1.0,900.0,1.0,1.0,2.0,4.0,0.0,3.0,2.0,0.0,2.0,2.0,268350.0,2.0,0.0,0.0,0.0,0.0,1209.0,0.0
1229,26.0,0.0,2.0,1080.0,2.0,1.0,2.0,4.0,0.0,3.0,2.0,0.0,2.0,2.0,262770.0,2.0,1.0,0.0,0.0,0.0,1229.0,0.0
1285,23.0,1.0,2.0,840.0,2.0,0.0,2.0,3.0,0.0,3.0,2.0,0.0,4.0,2.0,256920.0,2.0,0.0,1.0,0.0,0.0,1285.0,0.0
1311,26.0,0.0,1.0,540.0,2.0,1.0,2.0,5.0,0.0,3.0,2.0,0.0,2.0,2.0,250905.0,2.0,0.0,0.0,1.0,0.0,1311.0,0.0
1313,27.0,1.0,2.0,540.0,2.0,1.0,2.0,4.0,0.0,3.0,3.0,0.0,3.0,2.0,300000.0,2.0,0.0,1.0,0.0,1.0,1313.0,0.0
1389,28.0,0.0,3.0,1800.0,2.0,1.0,3.0,4.0,0.0,3.0,3.0,0.0,2.0,2.0,300000.0,2.0,0.0,1.0,0.0,1.0,1389.0,0.0
1395,29.0,1.0,2.0,900.0,1.0,1.0,3.0,4.0,0.0,3.0,3.0,1.0,2.0,2.0,314655.0,1.0,0.0,1.0,0.0,1.0,1395.0,0.0
1514,33.0,0.0,1.0,840.0,2.0,1.0,3.0,4.0,0.0,4.0,2.0,0.0,2.0,2.0,307890.0,2.0,0.0,0.0,0.0,1.0,1514.0,0.0
1519,35.0,0.0,2.0,600.0,2.0,1.0,2.0,4.0,0.0,3.0,2.0,0.0,3.0,2.0,314625.0,2.0,1.0,1.0,0.0,1.0,1519.0,0.0
1545,36.0,0.0,2.0,840.0,1.0,0.0,2.0,4.0,0.0,3.0,1.0,1.0,3.0,2.0,270600.0,0.0,0.0,0.0,0.0,0.0,1545.0,0.0
1564,19.0,1.0,1.0,960.0,2.0,1.0,2.0,4.0,0.0,4.0,2.0,1.0,3.0,2.0,273990.0,0.0,0.0,0.0,0.0,0.0,1564.0,0.0
1741,21.0,1.0,2.0,900.0,2.0,0.0,1.0,3.0,0.0,3.0,2.0,0.0,2.0,2.0,260310.0,2.0,0.0,0.0,0.0,0.0,1741.0,0.0
1753,21.0,0.0,2.0,960.0,2.0,0.0,1.0,3.0,0.0,4.0,1.0,0.0,2.0,2.0,255075.0,2.0,0.0,0.0,0.0,0.0,1753.0,0.0
1773,31.0,1.0,2.0,960.0,0.0,1.0,3.0,5.0,0.0,3.0,7.0,0.0,2.0,2.0,315615.0,2.0,0.0,1.0,1.0,1.0,1773.0,0.0
1906,38.0,0.0,2.0,540.0,2.0,1.0,2.0,3.0,0.0,3.0,6.0,0.0,2.0,2.0,300000.0,1.0,1.0,0.0,0.0,1.0,1906.0,0.0
1929,21.0,0.0,2.0,960.0,0.0,1.0,2.0,3.0,0.0,3.0,3.0,0.0,2.0,2.0,263130.0,2.0,0.0,0.0,0.0,0.0,1929.0,0.0
1944,22.0,0.0,1.0,1440.0,2.0,1.0,1.0,3.0,0.0,3.0,2.0,0.0,4.0,2.0,253845.0,2.0,0.0,0.0,0.0,0.0,1944.0,0.0
2040,29.0,0.0,2.0,900.0,2.0,1.0,2.0,300.0,0.0,4.0,2.0,0.0,3.0,2.0,267660.0,2.0,0.0,0.0,1.0,0.0,2040.0,0.0
2076,28.0,1.0,1.0,900.0,2.0,1.0,2.0,4.0,0.0,4.0,7.0,0.0,3.0,2.0,310000.0,2.0,0.0,1.0,0.0,1.0,2076.0,0.0
2149,22.0,1.0,2.0,480.0,2.0,1.0,2.0,3.0,0.0,3.0,2.0,1.0,3.0,2.0,263250.0,1.0,1.0,1.0,0.0,0.0,2149.0,0.0
2179,30.0,0.0,1.0,1140.0,0.0,1.0,3.0,5.0,0.0,4.0,7.0,0.0,4.0,2.0,300000.0,1.0,0.0,1.0,1.0,1.0,2179.0,0.0
2214,33.4,0.0,2.0,900.0,2.0,1.0,2.0,3.0,0.0,3.0,2.0,0.0,4.0,2.0,254475.0,1.0,0.0,0.0,0.0,0.0,2214.0,0.0
2258,43.6,0.0,1.0,600.0,2.0,1.0,2.0,3.0,0.0,3.0,6.0,0.0,4.0,2.0,305712.0,2.0,0.0,1.0,0.0,1.0,2258.0,0.0
2272,45.0,0.0,1.0,420.0,2.0,1.0,2.0,3.0,0.0,3.0,4.0,1.0,5.0,2.0,342300.0,2.0,0.0,1.0,0.0,2.0,2272.0,0.0
2351,21.0,0.0,2.0,720.0,2.0,1.0,3.0,5.0,0.0,3.0,2.0,0.0,2.0,2.0,348405.0,2.0,1.0,1.0,1.0,2.0,2351.0,0.0
2417,30.0,0.0,3.0,900.0,2.0,1.0,2.0,3.0,0.0,4.0,5.0,0.0,3.0,2.0,250000.0,0.0,1.0,0.0,0.0,0.0,2417.0,0.0
2418,36.0,1.0,2.0,780.0,2.0,1.0,3.0,4.0,0.0,3.0,7.0,0.0,2.0,2.0,316155.0,2.0,0.0,1.0,0.0,1.0,2418.0,0.0
2447,28.0,1.0,2.0,1020.0,2.0,1.0,3.0,3.0,0.0,4.0,2.0,0.0,2.0,2.0,261195.0,2.0,1.0,1.0,0.0,0.0,2447.0,0.0
2512,32.0,0.0,2.0,960.0,0.0,1.0,3.0,4.0,0.0,4.0,1.0,0.0,2.0,2.0,300000.0,0.0,0.0,1.0,0.0,1.0,2512.0,0.0
2534,41.0,0.0,3.0,900.0,2.0,1.0,3.0,4.0,0.0,4.0,1.0,0.0,2.0,2.0,270000.0,2.0,1.0,1.0,0.0,0.0,2534.0,0.0
2578,21.0,0.0,1.0,720.0,2.0,1.0,3.0,3.0,0.0,3.0,2.0,0.0,2.0,2.0,252270.0,2.0,1.0,0.0,0.0,0.0,2578.0,0.0
2605,20.0,1.0,3.0,660.0,2.0,1.0,2.0,3.0,0.0,4.0,2.0,0.0,3.0,2.0,253920.0,0.0,1.0,0.0,0.0,0.0,2605.0,0.0
2664,50.0,1.0,3.0,540.0,0.0,1.0,3.0,4.0,0.0,3.0,5.0,1.0,1.0,2.0,310155.0,0.0,0.0,1.0,0.0,1.0,2664.0,0.0
2792,30.0,0.0,2.0,1620.0,1.0,1.0,2.0,4.0,2.0,4.0,1.0,0.0,4.0,2.0,296100.0,2.0,0.0,1.0,0.0,0.0,2792.0,0.0
2797,35.0,1.0,2.0,1080.0,2.0,1.0,2.0,4.0,1.0,4.0,4.0,1.0,2.0,4.0,394860.0,2.0,0.0,1.0,0.0,3.0,2797.0,0.0
2835,28.0,1.0,2.0,660.0,2.0,1.0,2.0,5.0,0.0,4.0,3.0,0.0,4.0,2.0,311565.0,3.0,0.0,1.0,1.0,1.0,2835.0,0.0
2839,34.0,1.0,3.0,1068.0,2.0,1.0,2.0,5.0,0.0,4.0,3.0,0.0,2.0,2.0,324900.0,2.0,0.0,1.0,1.0,2.0,2839.0,0.0
2848,20.0,0.0,1.0,1020.0,2.0,1.0,3.0,3.0,0.0,3.0,2.0,1.0,4.0,2.0,253125.0,1.0,0.0,1.0,0.0,0.0,2848.0,0.0
2925,30.0,1.0,2.0,900.0,1.0,0.0,1.0,3.0,0.0,4.0,5.0,0.0,3.0,2.0,256230.0,2.0,0.0,0.0,0.0,0.0,2925.0,0.0
2928,39.0,1.0,1.0,780.0,2.0,1.0,1.0,3.0,0.0,4.0,3.0,0.0,3.0,2.0,259020.0,2.0,0.0,0.0,0.0,0.0,2928.0,0.0
2936,32.0,0.0,2.0,1200.0,2.0,1.0,1.0,3.0,0.0,4.0,2.0,0.0,2.0,2.0,253410.0,1.0,0.0,0.0,0.0,0.0,2936.0,0.0
2939,34.0,0.0,2.0,1020.0,2.0,0.0,1.0,4.0,0.0,4.0,2.0,0.0,2.0,2.0,268125.0,2.0,0.0,0.0,0.0,0.0,2939.0,0.0
2953,35.0,1.0,2.0,660.0,2.0,1.0,1.0,3.0,0.0,4.0,1.0,0.0,1.0,2.0,259770.0,2.0,1.0,0.0,0.0,0.0,2953.0,0.0
3005,23.0,0.0,2.0,420.0,1.0,1.0,2.0,4.0,0.0,5.0,3.0,1.0,2.0,2.0,351945.0,2.0,0.0,0.0,0.0,2.0,3005.0,0.0
3030,26.0,0.0,2.0,900.0,0.0,1.0,2.0,5.0,0.0,5.0,7.0,1.0,2.0,2.0,268050.0,2.0,0.0,1.0,1.0,0.0,3030.0,0.0
3053,32.0,1.0,1.0,540.0,0.0,1.0,3.0,5.0,0.0,4.0,3.0,0.0,2.0,2.0,254490.0,2.0,0.0,1.0,1.0,0.0,3053.0,0.0
3098,21.0,0.0,2.0,780.0,1.0,1.0,3.0,4.0,0.0,4.0,1.0,0.0,2.0,4.0,313815.0,2.0,1.0,0.0,0.0,1.0,3098.0,0.0
3117,25.0,0.0,2.0,960.0,2.0,1.0,2.0,4.0,0.0,4.0,3.0,0.0,3.0,2.0,344265.0,0.0,0.0,0.0,0.0,2.0,3117.0,0.0
3119,36.0,1.0,3.0,1020.0,2.0,1.0,2.0,4.0,0.0,4.0,5.0,0.0,4.0,2.0,271485.0,2.0,0.0,0.0,0.0,0.0,3119.0,0.0
3121,15.0,1.0,2.0,780.0,2.0,0.0,2.0,4.0,0.0,4.0,3.0,0.0,4.0,2.0,300000.0,2.0,1.0,0.0,0.0,1.0,3121.0,0.0
3130,23.0,1.0,2.0,600.0,2.0,1.0,2.0,4.0,0.0,4.0,3.0,1.0,4.0,2.0,252030.0,1.0,1.0,0.0,0.0,0.0,3130.0,0.0
3188,21.0,1.0,1.0,540.0,2.0,1.0,3.0,4.0,0.0,4.0,3.0,1.0,2.0,2.0,300000.0,2.0,0.0,1.0,0.0,1.0,3188.0,0.0
3192,30.0,0.0,2.0,960.0,2.0,0.0,1.0,3.0,0.0,4.0,2.0,0.0,2.0,2.0,257865.0,2.0,1.0,0.0,0.0,0.0,3192.0,0.0
3262,15.0,0.0,1.0,540.0,0.0,1.0,2.0,3.0,0.0,4.0,5.0,0.0,2.0,2.0,263415.0,2.0,1.0,0.0,0.0,0.0,3262.0,0.0
3330,43.0,0.0,1.0,660.0,0.0,1.0,3.0,400.0,0.0,4.0,3.0,0.0,3.0,2.0,553965.0,2.0,0.0,1.0,1.0,4.0,3330.0,0.0
3345,20.0,0.0,3.0,840.0,2.0,0.0,2.0,3.0,0.0,4.0,2.0,0.0,4.0,2.0,270000.0,2.0,1.0,0.0,0.0,0.0,3345.0,0.0
3429,26.0,0.0,3.0,900.0,2.0,1.0,3.0,1.0,0.0,4.0,2.0,1.0,4.0,2.0,324795.0,2.0,1.0,1.0,0.0,2.0,3429.0,0.0
