,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,Marital_Status,Car_Ownership,Has_Children,ProdTaken,NumberOfFollowups_outlier,Income_Category,id
1177,24.0,0.0,2.0,660.0,2.0,0.0,1.0,4.0,0.0,3.0,2.0,0.0,3.0,2.0,261930.0,2.0,0.0,0.0,0.0,0.0,0.0,1177.0
1187,25.0,0.0,2.0,1380.0,1.0,1.0,1.0,3.0,0.0,3.0,3.0,1.0,3.0,2.0,259575.0,2.0,1.0,0.0,0.0,0.0,0.0,1187.0
1209,24.0,0.0,1.0,900.0,1.0,1.0,2.0,4.0,0.0,3.0,2.0,0.0,2.0,2.0,268350.0,2.0,0.0,0.0,0.0,0.0,0.0,1209.0
1229,26.0,0.0,2.0,1080.0,2.0,1.0,2.0,4.0,0.0,3.0,2.0,0.0,2.0,2.0,262770.0,2.0,1.0,0.0,0.0,0.0,0.0,1229.0
1285,23.0,1.0,2.0,840.0,2.0,0.0,2.0,3.0,0.0,3.0,2.0,0.0,4.0,2.0,256920.0,2.0,0.0,1.0,0.0,0.0,0.0,1285.0
1308,37.0,1.0,1.0,900.0,0.0,1.0,2.0,3.0,0.0,3.0,2.0,1.0,3.0,2.0,268440.0,1.0,1.0,1.0,0.0,0.0,0.0,1308.0
1311,26.0,0.0,1.0,540.0,2.0,1.0,2.0,5.0,0.0,3.0,2.0,0.0,2.0,2.0,250905.0,2.0,0.0,0.0,0.0,1.0,0.0,1311.0
1313,27.0,1.0,2.0,540.0,2.0,1.0,2.0,4.0,0.0,3.0,3.0,0.0,3.0,2.0,300000.0,2.0,0.0,1.0,0.0,0.0,1.0,1313.0
1389,28.0,0.0,3.0,1800.0,2.0,1.0,3.0,4.0,0.0,3.0,3.0,0.0,2.0,2.0,300000.0,2.0,0.0,1.0,0.0,0.0,1.0,1389.0
1395,29.0,1.0,2.0,900.0,1.0,1.0,3.0,4.0,0.0,3.0,3.0,1.0,2.0,2.0,314655.0,1.0,0.0,1.0,0.0,0.0,1.0,1395.0
1545,36.0,0.0,2.0,840.0,1.0,0.0,2.0,4.0,0.0,3.0,1.0,1.0,3.0,2.0,270600.0,0.0,0.0,0.0,0.0,0.0,0.0,1545.0
1564,19.0,1.0,1.0,960.0,2.0,1.0,2.0,4.0,0.0,4.0,2.0,1.0,3.0,2.0,273990.0,0.0,0.0,0.0,0.0,0.0,0.0,1564.0
1741,21.0,1.0,2.0,900.0,2.0,0.0,1.0,3.0,0.0,3.0,2.0,0.0,2.0,2.0,260310.0,2.0,0.0,0.0,0.0,0.0,0.0,1741.0
1753,21.0,0.0,2.0,960.0,2.0,0.0,1.0,3.0,0.0,4.0,1.0,0.0,2.0,2.0,255075.0,2.0,0.0,0.0,0.0,0.0,0.0,1753.0
1773,31.0,1.0,2.0,960.0,0.0,1.0,3.0,5.0,0.0,3.0,7.0,0.0,2.0,2.0,315615.0,2.0,0.0,1.0,0.0,1.0,1.0,1773.0
1929,21.0,0.0,2.0,960.0,0.0,1.0,2.0,3.0,0.0,3.0,3.0,0.0,2.0,2.0,263130.0,2.0,0.0,0.0,0.0,0.0,0.0,1929.0
1944,22.0,0.0,1.0,1440.0,2.0,1.0,1.0,3.0,0.0,3.0,2.0,0.0,4.0,2.0,253845.0,2.0,0.0,0.0,0.0,0.0,0.0,1944.0
2008,13.0,1.0,1.0,960.0,1.0,1.0,2.0,1.0,0.0,3.0,2.0,0.0,4.0,2.0,260000.0,2.0,0.0,1.0,0.0,0.0,0.0,2008.0
2040,29.0,0.0,2.0,900.0,2.0,1.0,2.0,300.0,0.0,4.0,2.0,0.0,3.0,2.0,267660.0,2.0,0.0,0.0,0.0,1.0,0.0,2040.0
2149,22.0,1.0,2.0,480.0,2.0,1.0,2.0,3.0,0.0,3.0,2.0,1.0,3.0,2.0,263250.0,1.0,1.0,1.0,0.0,0.0,0.0,2149.0
2179,30.0,0.0,1.0,1140.0,0.0,1.0,3.0,5.0,0.0,4.0,7.0,0.0,4.0,2.0,300000.0,1.0,0.0,1.0,0.0,1.0,1.0,2179.0
2270,20.0,1.0,1.0,984.0,1.0,1.0,2.0,3.0,0.0,3.0,2.0,0.0,4.0,2.0,238890.0,2.0,1.0,0.0,0.0,0.0,0.0,2270.0
2272,45.0,0.0,1.0,420.0,2.0,1.0,2.0,3.0,0.0,3.0,4.0,1.0,5.0,2.0,342300.0,2.0,0.0,1.0,0.0,0.0,2.0,2272.0
2447,28.0,1.0,2.0,1020.0,2.0,1.0,3.0,3.0,0.0,4.0,2.0,0.0,2.0,2.0,261195.0,2.0,1.0,1.0,0.0,0.0,0.0,2447.0
2534,41.0,0.0,3.0,900.0,2.0,1.0,3.0,4.0,0.0,4.0,1.0,0.0,2.0,2.0,270000.0,2.0,1.0,1.0,0.0,0.0,0.0,2534.0
2578,21.0,0.0,1.0,720.0,2.0,1.0,3.0,3.0,0.0,3.0,2.0,0.0,2.0,2.0,252270.0,2.0,1.0,0.0,0.0,0.0,0.0,2578.0
2664,50.0,1.0,3.0,540.0,0.0,1.0,3.0,4.0,0.0,3.0,5.0,1.0,1.0,2.0,310155.0,0.0,0.0,1.0,0.0,0.0,1.0,2664.0
2848,20.0,0.0,1.0,1020.0,2.0,1.0,3.0,3.0,0.0,3.0,2.0,1.0,4.0,2.0,253125.0,1.0,0.0,1.0,0.0,0.0,0.0,2848.0
2895,38.0,1.0,2.0,540.0,2.0,0.0,3.0,3.0,0.0,5.0,5.0,1.0,2.0,2.0,263940.0,2.0,1.0,1.0,0.0,0.0,0.0,2895.0
3005,23.0,0.0,2.0,420.0,1.0,1.0,2.0,4.0,0.0,5.0,3.0,1.0,2.0,2.0,351945.0,2.0,0.0,0.0,0.0,0.0,2.0,3005.0
3030,26.0,0.0,2.0,900.0,0.0,1.0,2.0,5.0,0.0,5.0,7.0,1.0,2.0,2.0,268050.0,2.0,0.0,1.0,0.0,1.0,0.0,3030.0
3053,32.0,1.0,1.0,540.0,0.0,1.0,3.0,5.0,0.0,4.0,3.0,0.0,2.0,2.0,254490.0,2.0,0.0,1.0,0.0,1.0,0.0,3053.0
3119,36.0,1.0,3.0,1020.0,2.0,1.0,2.0,4.0,0.0,4.0,5.0,0.0,4.0,2.0,271485.0,2.0,0.0,0.0,0.0,0.0,0.0,3119.0
3130,23.0,1.0,2.0,600.0,2.0,1.0,2.0,4.0,0.0,4.0,3.0,1.0,4.0,2.0,252030.0,1.0,1.0,0.0,0.0,0.0,0.0,3130.0
3132,54.0,0.0,2.0,420.0,2.0,0.0,2.0,4.0,3.0,5.0,1.0,1.0,3.0,1.0,484680.0,1.0,0.0,0.0,0.0,0.0,4.0,3132.0
3188,21.0,1.0,1.0,540.0,2.0,1.0,3.0,4.0,0.0,4.0,3.0,1.0,2.0,2.0,300000.0,2.0,0.0,1.0,0.0,0.0,1.0,3188.0
3262,15.0,0.0,1.0,540.0,0.0,1.0,2.0,3.0,0.0,4.0,5.0,0.0,2.0,2.0,263415.0,2.0,1.0,0.0,0.0,0.0,0.0,3262.0
3345,20.0,0.0,3.0,840.0,2.0,0.0,2.0,3.0,0.0,4.0,2.0,0.0,4.0,2.0,270000.0,2.0,1.0,0.0,0.0,0.0,0.0,3345.0
3405,37.0,1.0,1.0,960.0,1.0,1.0,3.0,3.0,0.0,4.0,2.0,1.0,2.0,2.0,259755.0,0.0,1.0,1.0,0.0,0.0,0.0,3405.0
3411,47.0,0.0,2.0,1020.0,2.0,1.0,3.0,3.0,0.0,4.0,2.0,0.0,2.0,2.0,261480.0,0.0,0.0,1.0,0.0,0.0,0.0,3411.0
