,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,Marital_Status,Car_Ownership,Has_Children,ProdTaken,NumberOfFollowups_outlier,Income_Category,id
496,41.0,1.0,2.0,480.0,1.0,1.0,3.0,4.0,1.0,3.0,3.0,0.0,1.0,4.0,434460.0,3.0,1.0,1.0,1.0,0.0,4.0,496.0
512,36.0,1.0,2.0,480.0,2.0,1.0,3.0,4.0,3.0,3.0,2.0,0.0,1.0,2.0,268755.0,0.0,1.0,1.0,1.0,0.0,0.0,512.0
555,38.0,1.0,2.0,420.0,1.0,1.0,3.0,4.0,2.0,3.0,3.0,1.0,2.0,3.0,344415.0,3.0,0.0,1.0,1.0,0.0,2.0,555.0
561,27.0,0.0,1.0,840.0,2.0,1.0,3.0,3.0,0.0,3.0,2.0,0.0,4.0,2.0,300000.0,2.0,1.0,0.0,1.0,0.0,1.0,561.0
571,41.0,1.0,1.0,1020.0,2.0,1.0,2.0,4.0,0.0,4.0,7.0,0.0,2.0,2.0,269925.0,1.0,1.0,1.0,1.0,0.0,0.0,571.0
573,27.0,1.0,1.0,720.0,1.0,0.0,2.0,4.0,0.0,3.0,3.0,0.0,2.0,2.0,266565.0,0.0,0.0,1.0,1.0,0.0,0.0,573.0
575,30.0,0.0,1.0,840.0,1.0,1.0,2.0,4.0,0.0,3.0,2.0,0.0,2.0,2.0,269295.0,0.0,0.0,1.0,1.0,0.0,0.0,575.0
577,36.0,0.0,1.0,900.0,1.0,1.0,3.0,4.0,0.0,3.0,1.0,0.0,2.0,2.0,340000.0,1.0,0.0,1.0,1.0,0.0,2.0,577.0
592,43.0,1.0,1.0,540.0,2.0,1.0,3.0,4.0,0.0,3.0,5.0,0.0,1.0,2.0,316035.0,0.0,0.0,1.0,1.0,0.0,1.0,592.0
598,26.0,1.0,1.0,420.0,1.0,0.0,3.0,4.0,0.0,3.0,5.0,1.0,2.0,2.0,264375.0,0.0,1.0,1.0,1.0,0.0,0.0,598.0
620,52.0,1.0,2.0,780.0,2.0,1.0,3.0,4.0,4.0,4.0,5.0,1.0,3.0,1.0,554670.0,1.0,1.0,1.0,1.0,0.0,4.0,620.0
628,22.0,0.0,1.0,540.0,1.0,1.0,3.0,5.0,0.0,3.0,3.0,0.0,1.0,2.0,300000.0,0.0,0.0,1.0,1.0,1.0,1.0,628.0
629,20.0,1.0,1.0,540.0,2.0,1.0,3.0,5.0,0.0,3.0,3.0,0.0,1.0,2.0,325785.0,2.0,0.0,1.0,1.0,1.0,2.0,629.0
639,28.0,1.0,1.0,540.0,2.0,1.0,3.0,4.0,0.0,3.0,3.0,0.0,3.0,2.0,317565.0,2.0,1.0,1.0,1.0,0.0,1.0,639.0
650,28.0,1.0,1.0,960.0,1.0,1.0,2.0,5.0,2.0,3.0,3.0,1.0,2.0,3.0,350000.0,1.0,0.0,1.0,1.0,1.0,2.0,650.0
651,49.0,1.0,1.0,960.0,1.0,1.0,3.0,5.0,0.0,3.0,3.0,1.0,2.0,2.0,405435.0,1.0,0.0,1.0,1.0,1.0,3.0,651.0
654,31.0,0.0,1.0,780.0,1.0,1.0,3.0,5.0,0.0,3.0,2.0,0.0,3.0,2.0,429960.0,3.0,1.0,1.0,1.0,1.0,4.0,654.0
669,35.0,0.0,3.0,1020.0,1.0,1.0,3.0,5.0,3.0,3.0,1.8,0.0,2.0,1.0,522855.0,2.0,0.0,1.0,1.0,1.0,4.0,669.0
670,31.0,1.0,2.0,900.0,2.0,1.0,3.0,5.0,0.0,4.0,2.0,0.0,2.0,2.0,317655.0,2.0,0.0,1.0,1.0,1.0,1.0,670.0
690,35.0,1.0,1.0,420.0,1.0,1.0,2.0,5.0,0.0,3.0,3.0,0.0,2.0,2.0,306825.0,1.0,1.0,1.0,1.0,1.0,1.0,690.0
708,32.0,0.0,1.0,660.0,2.0,1.0,3.0,5.0,0.0,4.0,7.0,0.0,5.0,2.0,314265.0,3.0,0.0,1.0,1.0,1.0,1.0,708.0
711,39.0,1.0,1.0,480.0,1.0,1.0,3.0,5.0,0.0,3.0,7.0,0.0,3.0,2.0,312390.0,3.0,0.0,1.0,1.0,1.0,1.0,711.0
713,42.0,0.0,2.0,840.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,363000.0,1.0,0.0,0.0,1.0,0.0,3.0,713.0
723,10.0,1.0,2.0,1020.0,1.0,0.0,3.0,5.0,2.0,3.0,3.0,0.0,4.0,3.0,341385.0,3.0,1.0,1.0,1.0,1.0,2.0,723.0
737,35.0,0.0,1.0,660.0,2.0,0.0,3.0,5.0,0.0,3.0,1.0,0.0,4.0,2.0,375570.0,1.0,0.0,1.0,1.0,1.0,3.0,737.0
747,57.0,0.0,1.0,780.0,1.0,1.0,2.0,4.0,4.0,3.0,1.6,1.0,3.0,0.0,566625.0,1.0,1.0,1.0,1.0,0.0,4.0,747.0
749,36.0,0.0,2.0,960.0,2.0,0.0,2.0,3.0,2.0,3.0,2.0,0.0,4.0,3.0,260265.0,1.0,1.0,1.0,1.0,0.0,0.0,749.0
753,47.0,1.0,2.0,840.0,2.0,1.0,2.0,4.0,2.0,3.0,1.0,1.0,4.0,3.0,300000.0,0.0,0.0,1.0,1.0,0.0,1.0,753.0
774,26.0,1.0,2.0,720.0,2.0,0.0,3.0,4.0,0.0,4.0,5.0,0.0,3.0,2.0,342308.0,0.0,1.0,1.0,1.0,0.0,2.0,774.0
778,24.0,0.0,2.0,1020.0,2.0,1.0,2.0,5.0,0.0,4.0,3.0,0.0,3.0,2.0,313380.0,1.0,0.0,1.0,1.0,1.0,1.0,778.0
782,20.0,1.0,3.0,540.0,2.0,1.0,2.0,4.0,0.0,3.0,2.0,0.0,4.0,2.0,300000.0,0.0,1.0,1.0,1.0,0.0,1.0,782.0
790,39.0,1.0,3.0,540.0,1.0,1.0,2.0,4.0,1.0,3.0,5.0,0.0,3.0,4.0,490000.0,3.0,0.0,1.0,1.0,0.0,4.0,790.0
810,40.0,1.0,1.0,900.0,2.0,1.0,2.0,5.0,0.0,3.0,3.0,0.0,4.0,2.0,267540.0,1.0,0.0,1.0,1.0,1.0,0.0,810.0
812,32.0,1.0,1.0,900.0,2.0,1.0,2.0,4.0,0.0,3.0,8.0,0.0,3.0,2.0,318240.0,2.0,0.0,1.0,1.0,0.0,1.0,812.0
830,30.6,0.0,2.0,720.0,2.0,1.0,3.0,3.0,0.0,3.0,2.0,0.0,2.0,2.0,278535.0,1.0,0.0,1.0,1.0,0.0,0.0,830.0
846,20.0,1.0,1.0,720.0,2.0,1.0,3.0,4.0,0.0,4.0,3.0,1.0,3.0,2.0,315060.0,2.0,0.0,1.0,1.0,0.0,1.0,846.0
847,45.0,0.0,2.0,540.0,2.0,0.0,2.0,4.0,2.0,3.0,6.0,1.0,3.0,3.0,300000.0,1.0,0.0,1.0,1.0,0.0,1.0,847.0
852,31.0,1.0,2.0,960.0,1.0,1.0,3.0,4.0,0.0,3.0,5.0,1.0,1.0,2.0,342900.0,0.0,0.0,1.0,1.0,0.0,2.0,852.0
854,33.0,1.0,1.0,780.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,2.0,2.0,339435.0,0.0,1.0,1.0,1.0,0.0,2.0,854.0
861,14.0,0.0,1.0,1740.0,1.0,0.0,2.0,6.0,1.0,3.0,4.0,0.0,4.0,4.0,501375.0,1.0,1.0,1.0,1.0,1.0,4.0,861.0
863,31.0,0.0,2.0,1020.0,2.0,1.0,3.0,5.0,0.0,4.0,1.0,0.0,4.0,2.0,302100.0,1.0,1.0,1.0,1.0,1.0,1.0,863.0
879,19.0,1.0,1.0,480.0,2.0,1.0,3.0,5.0,0.0,4.0,7.0,0.0,5.0,2.0,300000.0,0.0,1.0,1.0,1.0,1.0,1.0,879.0
897,54.0,0.0,2.0,540.0,1.0,1.0,2.0,6.0,1.0,3.0,5.0,0.0,3.0,4.0,349260.0,1.0,0.0,1.0,1.0,1.0,2.0,897.0
902,37.0,1.0,1.0,600.0,2.0,1.0,3.0,4.0,0.0,3.0,3.0,0.0,2.0,2.0,323670.0,2.0,0.0,1.0,1.0,0.0,1.0,902.0
937,45.0,1.0,2.0,1020.0,2.0,1.0,1.0,3.0,0.0,4.0,2.0,0.0,4.0,2.0,261195.0,1.0,1.0,0.0,1.0,0.0,0.0,937.0
945,30.0,0.0,1.0,900.0,2.0,0.0,1.0,3.0,0.0,4.0,2.0,0.0,3.0,2.0,261045.0,1.0,1.0,0.0,1.0,0.0,0.0,945.0
958,31.0,1.0,3.0,1440.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,0.0,2.0,4.0,379020.0,1.0,1.0,1.0,1.0,0.0,3.0,958.0
967,33.0,1.0,1.0,1260.0,2.0,0.0,2.0,1.0,0.0,3.0,2.0,0.0,4.0,2.0,266925.0,1.0,1.0,1.0,1.0,0.0,0.0,967.0
973,33.6,1.0,1.0,360.0,1.0,0.0,2.0,3.0,0.0,3.0,1.0,0.0,4.0,2.0,254790.0,2.0,1.0,1.0,1.0,0.0,0.0,973.0
1007,33.0,1.0,2.0,420.0,2.0,1.0,2.0,3.0,2.0,3.0,7.0,0.0,2.0,3.0,300000.0,1.0,0.0,1.0,1.0,0.0,1.0,1007.0
1038,29.0,0.0,1.0,1440.0,2.0,1.0,2.0,3.0,0.0,3.0,1.0,0.0,2.0,2.0,266910.0,1.0,1.0,1.0,1.0,0.0,0.0,1038.0
1060,34.0,0.0,2.0,540.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,0.0,1.0,3.0,259305.0,0.0,0.0,0.0,1.0,0.0,0.0,1060.0
1065,23.0,1.0,3.0,780.0,2.0,1.0,1.0,3.0,3.0,4.0,3.0,0.0,2.0,1.0,251550.0,2.0,1.0,0.0,1.0,0.0,0.0,1065.0
1087,27.0,0.0,2.0,720.0,1.0,0.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,4.0,396120.0,2.0,1.0,1.0,1.0,0.0,3.0,1087.0
1108,19.0,0.0,1.0,420.0,2.0,0.0,2.0,3.0,0.0,3.0,2.0,0.0,2.0,2.0,250000.0,2.0,1.0,1.0,1.0,0.0,0.0,1108.0
1118,32.0,0.0,1.0,1260.0,1.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,1.0,2.0,300000.0,2.0,1.0,0.0,1.0,0.0,1.0,1118.0
1126,54.0,1.0,2.0,360.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,0.0,1.0,4.0,300000.0,1.0,0.0,0.0,1.0,0.0,1.0,1126.0
1131,51.0,0.0,2.0,660.0,1.0,0.0,1.0,3.0,1.0,4.0,1.0,0.0,2.0,4.0,360285.0,0.0,1.0,0.0,1.0,0.0,3.0,1131.0
1142,57.0,0.0,2.0,540.0,2.0,1.0,3.0,3.0,4.0,3.0,6.0,1.0,1.0,0.0,522795.0,2.0,1.0,1.0,1.0,0.0,4.0,1142.0
1147,31.0,0.0,2.0,600.0,2.0,1.0,3.0,4.0,0.0,3.0,2.0,0.0,3.0,2.0,312285.0,0.0,1.0,1.0,1.0,0.0,1.0,1147.0
1174,27.0,1.0,3.0,1188.0,2.0,1.0,2.0,3.0,2.0,3.0,4.0,0.0,4.0,3.0,302625.0,2.0,0.0,1.0,1.0,0.0,1.0,1174.0
1184,20.0,0.0,2.0,984.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,0.0,4.0,3.0,247410.0,2.0,1.0,1.0,1.0,0.0,0.0,1184.0
1191,27.0,1.0,1.0,840.0,2.0,1.0,1.0,3.0,0.0,3.0,3.0,0.0,5.0,2.0,270675.0,1.0,1.0,0.0,1.0,0.0,0.0,1191.0
1193,30.0,0.0,1.0,600.0,2.0,1.0,1.0,3.0,0.0,3.0,1.0,0.0,3.0,2.0,257925.0,2.0,1.0,0.0,1.0,0.0,0.0,1193.0
1196,32.0,0.0,1.0,1500.0,2.0,0.0,1.0,3.0,0.0,3.0,2.0,0.0,4.0,2.0,259860.0,1.0,0.0,0.0,1.0,0.0,0.0,1196.0
1221,25.0,0.0,2.0,660.0,1.0,0.0,2.0,4.0,0.0,3.0,2.0,0.0,2.0,2.0,300000.0,2.0,1.0,0.0,1.0,0.0,1.0,1221.0
1228,30.0,1.0,2.0,720.0,2.0,1.0,2.0,4.0,0.0,3.0,2.0,0.0,2.0,2.0,260000.0,1.0,1.0,0.0,1.0,0.0,0.0,1228.0
1230,39.0,1.0,2.0,660.0,1.0,1.0,2.0,4.0,0.0,3.0,8.0,0.0,2.0,2.0,371610.0,3.0,0.0,1.0,1.0,0.0,3.0,1230.0
1242,22.0,1.0,2.0,600.0,2.0,1.0,2.0,4.0,1.0,4.0,3.0,0.0,2.0,4.0,461640.0,1.0,0.0,0.0,1.0,0.0,4.0,1242.0
1282,25.0,1.0,2.0,1272.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,0.0,4.0,3.0,298245.0,0.0,0.0,1.0,1.0,0.0,0.0,1282.0
1296,31.0,1.0,1.0,600.0,0.0,0.0,1.0,3.0,0.0,3.0,3.0,0.0,2.0,2.0,297765.0,1.0,1.0,0.0,1.0,0.0,0.0,1296.0
1321,57.0,1.0,2.0,1980.0,0.0,1.0,3.0,3.0,0.0,3.0,6.0,0.0,4.0,2.0,257640.0,1.0,0.0,1.0,1.0,0.0,0.0,1321.0
1325,52.0,1.0,3.0,900.0,2.0,0.0,2.0,3.0,4.0,4.0,6.0,0.0,5.0,0.0,472905.0,1.0,0.0,1.0,1.0,0.0,4.0,1325.0
1328,29.0,0.0,2.0,756.0,1.0,1.0,2.0,5.0,2.0,3.0,3.0,0.0,2.0,3.0,301965.0,2.0,0.0,0.0,1.0,1.0,1.0,1328.0
1356,52.0,0.0,2.0,540.0,2.0,1.0,2.0,3.0,1.0,4.0,2.0,1.0,3.0,4.0,393675.0,0.0,0.0,1.0,1.0,0.0,3.0,1356.0
1359,40.0,1.0,1.0,480.0,2.0,1.0,2.0,5.0,0.0,3.0,2.0,0.0,2.0,2.0,262230.0,2.0,1.0,1.0,1.0,1.0,0.0,1359.0
1363,30.0,0.0,1.0,480.0,2.0,0.0,2.0,5.0,0.0,3.0,2.0,0.0,1.0,2.0,294255.0,3.0,0.0,1.0,1.0,1.0,0.0,1363.0
1366,30.0,1.0,1.0,420.0,0.0,1.0,2.0,3.0,0.0,3.0,1.0,0.0,4.0,2.0,257625.0,1.0,0.0,1.0,1.0,0.0,0.0,1366.0
1369,28.0,0.0,2.0,1740.0,2.0,1.0,2.0,4.0,0.0,3.0,2.0,0.0,4.0,2.0,326025.0,1.0,0.0,1.0,1.0,0.0,2.0,1369.0
1371,48.0,1.0,1.0,600.0,1.0,0.0,2.0,4.0,0.0,3.0,4.0,0.0,4.0,2.0,262650.0,1.0,0.0,1.0,1.0,0.0,0.0,1371.0
1392,59.0,1.0,2.0,420.0,1.0,1.0,3.0,4.0,1.0,3.0,6.0,0.0,2.0,4.0,400000.0,3.0,1.0,1.0,1.0,0.0,3.0,1392.0
1402,29.0,0.0,2.0,540.0,2.0,1.0,3.0,4.0,2.0,3.0,7.0,0.0,2.0,3.0,351450.0,1.0,1.0,1.0,1.0,0.0,2.0,1402.0
1403,39.6,1.0,2.0,600.0,2.0,0.0,1.0,3.0,0.0,3.0,2.0,0.0,4.0,2.0,265485.0,2.0,1.0,0.0,1.0,0.0,0.0,1403.0
1405,54.0,0.0,3.0,960.0,2.0,0.0,2.0,3.0,1.0,3.0,4.0,1.0,4.0,4.0,319845.0,1.0,1.0,1.0,1.0,0.0,1.0,1405.0
1411,25.0,0.0,2.0,840.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,0.0,1.0,1.0,438480.0,0.0,1.0,1.0,1.0,0.0,4.0,1411.0
1435,53.0,1.0,1.0,1080.0,2.0,1.0,2.0,3.0,3.0,3.0,6.0,1.0,4.0,1.0,466230.0,1.0,1.0,1.0,1.0,0.0,4.0,1435.0
1445,20.0,1.0,1.0,960.0,2.0,0.0,2.0,4.0,0.0,4.0,3.0,0.0,1.0,2.0,250000.0,2.0,0.0,0.0,1.0,0.0,0.0,1445.0
1454,22.0,1.0,1.0,1020.0,0.0,0.0,3.0,4.0,0.0,3.0,3.0,0.0,1.0,2.0,324180.0,0.0,1.0,1.0,1.0,0.0,2.0,1454.0
1462,30.0,0.0,2.0,480.0,2.0,1.0,3.0,5.0,0.0,3.0,7.0,0.0,2.0,2.0,319605.0,1.0,0.0,1.0,1.0,1.0,1.0,1462.0
1467,41.0,1.0,1.0,480.0,0.0,1.0,2.0,4.0,1.0,3.0,2.0,1.0,3.0,4.0,355425.0,2.0,0.0,1.0,1.0,0.0,2.0,1467.0
1478,37.0,1.0,2.0,840.0,2.0,1.0,3.0,5.0,0.0,3.0,2.0,0.0,2.0,2.0,313485.0,0.0,0.0,1.0,1.0,1.0,1.0,1478.0
1493,47.0,1.0,3.0,660.0,2.0,1.0,3.0,4.0,1.0,3.0,2.0,1.0,1.0,4.0,500000.0,1.0,1.0,1.0,1.0,0.0,4.0,1493.0
1494,40.0,1.0,1.0,480.0,0.0,1.0,2.0,4.0,0.0,3.0,2.0,0.0,3.0,2.0,300000.0,0.0,0.0,0.0,1.0,0.0,1.0,1494.0
1498,49.0,0.0,1.0,540.0,2.0,1.0,4.0,5.0,0.0,3.0,7.0,0.0,2.0,2.0,321465.0,1.0,1.0,1.0,1.0,1.0,1.0,1498.0
1508,50.0,1.0,1.0,1800.0,2.0,0.0,3.0,4.0,3.0,4.0,6.0,0.0,1.0,0.0,534690.0,0.0,1.0,1.0,1.0,0.0,4.0,1508.0
1521,25.0,1.0,2.0,1020.0,2.0,0.0,2.0,4.0,0.0,3.0,2.0,0.0,4.0,2.0,308100.0,2.0,0.0,0.0,1.0,0.0,1.0,1521.0
1522,37.0,0.0,3.0,1320.0,2.0,1.0,2.0,4.0,2.0,3.0,2.0,0.0,3.0,3.0,258045.0,1.0,0.0,1.0,1.0,0.0,0.0,1522.0
1523,22.0,1.0,2.0,540.0,2.0,0.0,2.0,4.0,1.0,4.0,2.0,0.0,3.0,4.0,500000.0,0.0,1.0,0.0,1.0,0.0,4.0,1523.0
1536,21.0,0.0,2.0,600.0,2.0,0.0,2.0,4.0,1.0,3.0,3.0,1.0,4.0,4.0,320000.0,2.0,0.0,1.0,1.0,0.0,1.0,1536.0
1554,50.0,1.0,1.0,360.0,0.0,0.0,2.0,4.0,3.0,4.0,7.0,0.0,3.0,1.0,400000.0,2.0,1.0,1.0,1.0,0.0,3.0,1554.0
1563,49.0,1.0,2.0,540.0,0.0,1.0,2.0,5.0,3.0,3.0,1.0,0.0,3.0,1.0,428580.0,3.0,0.0,1.0,1.0,1.0,4.0,1563.0
1600,53.0,0.0,1.0,540.0,0.0,1.0,2.0,4.0,0.0,4.0,2.0,0.0,4.0,2.0,277305.0,2.0,1.0,0.0,1.0,0.0,0.0,1600.0
1602,57.0,0.0,1.0,840.0,2.0,0.0,2.0,4.0,1.0,4.0,1.0,0.0,3.0,4.0,470415.0,1.0,0.0,0.0,1.0,0.0,4.0,1602.0
1605,35.0,1.0,3.0,540.0,2.0,0.0,2.0,4.0,1.0,4.0,6.0,1.0,3.0,4.0,350775.0,3.0,1.0,0.0,1.0,0.0,2.0,1605.0
1608,46.0,1.0,3.0,1680.0,2.0,1.0,2.0,4.0,3.0,3.0,7.0,0.0,2.0,1.0,374445.0,1.0,0.0,1.0,1.0,0.0,3.0,1608.0
1630,38.0,1.0,2.0,720.0,1.0,1.0,3.0,4.0,1.0,3.0,3.0,0.0,2.0,4.0,419880.0,2.0,1.0,1.0,1.0,0.0,4.0,1630.0
1667,23.0,1.0,2.0,480.0,1.0,1.0,3.0,4.0,1.0,3.0,2.0,0.0,1.0,4.0,363810.0,1.0,0.0,1.0,1.0,0.0,3.0,1667.0
